,id,name,TL,TM,TH,PL,PM,PH,Tree
185,186,Oskarshamn,,,,,,,
186,187,Österåker,,,,,,,
187,188,Östersund,,,,,,,
188,189,Östhammar,,,,,,,
189,190,Östra Göinge,,,,,,,
190,191,Ovanåker,,,,,,,
191,192,Överkalix,,,,,,,
192,193,Övertorneå,,,,,,,
193,194,Oxelösund,,,,,,,
194,195,Pajala,,,,,,,
195,196,Partille,,,,,,,
196,197,Perstorp,,,,,,,
197,198,Piteå,,,,,,,
198,199,Ragunda,,,,,,,
199,200,Rättvik,,,,,,,
200,201,Robertsfors,,,,,,,
201,202,Ronneby,,,,,,,
202,203,Säffle,,,,,,,
203,204,Sala,,,,,,,
204,205,Salem,,,,,,,
205,206,Sandviken,,,,,,,
206,207,Säter,,,,,,,
207,208,Sävsjö,,,,,,,
208,209,Sigtuna,,,,,,,
209,210,Simrishamn,,,,,,,
210,211,Sjöbo,,,,,,,
211,212,Skara,,,,,,,
212,213,Skellefteå,,,,,,,
213,214,Skinnskatteberg,,,,,,,
214,215,Skövde,,,,,,,
215,216,Skurup,,,,,,,
216,217,Smedjebacken,,,,,,,
217,218,Söderhamn,,,,,,,
218,219,Söderköping,,,,,,,
219,220,Södertälje,,,,,,,
220,221,Sollefteå,,,,,,,
221,222,Sollentuna,,,,,,,
222,223,Solna,,,,,,,
223,224,Sölvesborg,,,,,,,
224,225,Sorsele,,,,,,,
225,226,Sotenäs,,,,,,,
226,227,Staffanstorp,,,,,,,
227,228,Stenungsund,,,,,,,
228,229,Stockholm,,,,,,,
229,230,Storfors,,,,,,,
230,231,Storuman,,,,,,,
231,232,Strängnäs,,,,,,,
232,233,Strömstad,,,,,,,
233,234,Strömsund,,,,,,,
234,235,Sundbyberg,,,,,,,
235,236,Sundsvall,,,,,,,
236,237,Sunne,,,,,,,
237,238,Surahammar,,,,,,,
238,239,Svalöv,,,,,,,
239,240,Svedala,,,,,,,
240,241,Svenljunga,,,,,,,
241,242,Täby,,,,,,,
242,243,Tanum,,,,,,,
243,244,Tibro,,,,,,,
244,245,Tidaholm,,,,,,,
245,246,Tierp,,,,,,,
246,247,Timrå,,,,,,,
247,248,Tingsryd,,,,,,,
248,249,Tjörn,,,,,,,
249,250,Tomelilla,,,,,,,
250,251,Töreboda,,,,,,,
251,252,Torsås,,,,,,,
252,253,Torsby,,,,,,,
253,254,Tranås,,,,,,,
254,255,Tranemo,,,,,,,
255,256,Trelleborg,,,,,,,
256,257,Trollhättan,,,,,,,
257,258,Trosa,,,,,,,
258,259,Tyresö,,,,,,,
259,260,Uddevalla,,,,,,,
260,261,Ulricehamn,,,,,,,
261,262,Umeå,,,,,,,
262,263,Upplands-Bro,,,,,,,
263,264,Upplands Väsby,,,,,,,
264,265,Uppsala,,,,,,,
265,266,Uppvidinge,,,,,,,
266,267,Vadstena,,,,,,,
267,268,Vaggeryd,,,,,,,
268,269,Valdemarsvik,,,,,,,
269,270,Vallentuna,,,,,,,
270,271,Vänersborg,,,,,,,
271,272,Vännäs,,,,,,,
272,273,Vansbro,,,,,,,
273,274,Vara,,,,,,,
274,275,Varberg,,,,,,,
275,276,Vårgårda,,,,,,,
276,277,Värmdö,,,,,,,
277,278,Värnamo,,,,,,,
278,279,Västerås,,,,,,,
279,280,Västervik,,,,,,,
280,281,Vaxholm,,,,,,,
281,282,Växjö,,,,,,,
282,283,Vellinge,,,,,,,
283,284,Vetlanda,,,,,,,
284,285,Vilhelmina,,,,,,,
285,286,Vimmerby,,,,,,,
286,287,Vindeln,,,,,,,
287,288,Vingåker,,,,,,,
288,289,Ydre,,,,,,,
289,290,Ystad,,,,,,,
